Timestamp, Time, Total duration, Partial duration, RideTime, Data, Lat, Lon, Ele, Grade, Distance, Speed, MaxSpeed, Average, Ride Average, Cadence, Heartrate, Lap
1662273775, "2022-09-04 08:42:55", 0, 0, 0, M, 49.480259, 1.121081, 112.6, 0, 0, 0, 0, 0, 0, 96, 0, 1
1662273776, "2022-09-04 08:42:56", 0, 0, 0, M, 49.480229, 1.1211914, 112.8, 2.3156207, 0, 31.093886, 0, 0, 0, 101, 0, 1
1662273777, "2022-09-04 08:42:57", 1, 1, 1, M, 49.480198, 1.1213036, 112.8, 0, 8.8506937, 31.862497, 31.862497, 31.862497, 0, 103, 0, 1
1662273778, "2022-09-04 08:42:58", 2, 2, 2, M, 49.480167, 1.1214215, 112.6, -2.16773, 18.077146, 33.215229, 33.215229, 32.538863, 65.077727, 101, 0, 1
1662273779, "2022-09-04 08:42:59", 3, 3, 3, M, 49.480136, 1.1215428, 112.6, 0, 27.512045, 33.965637, 33.965637, 33.014454, 49.521682, 105, 0, 1
1662273780, "2022-09-04 08:43:00", 4, 4, 4, M, 49.480103, 1.1216635, 112.6, 0, 36.984165, 34.099632, 34.099632, 33.285749, 44.380999, 103, 0, 1
1662273781, "2022-09-04 08:43:01", 5, 5, 5, M, 49.480071, 1.1217866, 112.6, 0, 46.592579, 34.590289, 34.590289, 33.546657, 41.933321, 96, 0, 1
1662273782, "2022-09-04 08:43:02", 6, 6, 6, M, 49.480042, 1.1219078, 112.6, 0, 55.942759, 33.660646, 34.590289, 33.565655, 40.278786, 98, 0, 1
1662273783, "2022-09-04 08:43:03", 7, 7, 7, M, 49.48001, 1.1220323, 112.6, 0, 65.639044, 34.906627, 34.906627, 33.757223, 39.383426, 98, 0, 1
1662273784, "2022-09-04 08:43:04", 8, 8, 8, M, 49.479976, 1.1221565, 112.6, 0, 75.414959, 35.193296, 35.193296, 33.936732, 38.784836, 98, 0, 1
1662273785, "2022-09-04 08:43:05", 9, 9, 9, M, 49.479942, 1.1222806, 112.6, 0, 85.172431, 35.126897, 35.193296, 34.068972, 38.327594, 98, 0, 1
1662273786, "2022-09-04 08:43:06", 10, 10, 10, M, 49.479908, 1.1224038, 112.6, 0, 94.881283, 34.951869, 35.193296, 34.157262, 37.952513, 98, 0, 1
